Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2015-09-14,234.4157257080078,236.51025463769676,233.80059773393234,236.12093734611207,567400
2015-09-15,239.74171447753906,240.24005228899978,234.76624912715153,236.39359344423562,950600
2015-09-16,244.1097412109375,244.67035907378911,239.67151448319188,241.22098973436084,959300
2015-09-17,242.64593505859375,246.62474696482167,241.89065845005922,243.11312063041683,964300
2015-09-18,240.4969024658203,244.16426534824274,239.61704142919046,239.61704142919046,1570800
2015-09-21,243.23765563964844,244.41337763823017,241.0419005314016,241.53244409409936,728200
2015-09-22,236.96185302734375,239.62479376592225,234.95298625139574,239.62479376592225,814600
2015-09-23,236.12879943847656,237.90408584993799,234.71947233719598,236.7750558737072,454800
2015-09-24,233.987548828125,235.07763278395797,232.85072492371168,234.3690722721545,726500
2015-09-25,235.91073608398438,238.64372756203807,234.29895664689892,236.81395513430215,645700
2015-09-28,228.96533203125,235.92632857736774,228.73175111173467,233.6838567018336,732500
2015-09-29,228.5447998046875,230.85734532053533,226.58264933386275,229.90741023882586,794100
2015-09-30,231.6205596923828,234.89083627192153,229.3702930851842,234.36914035469823,756200
2015-10-01,230.4136962890625,232.62501699725308,226.9721188853082,231.30912185129316,814300
2015-10-02,236.2066192626953,236.23000111605828,225.14222645074958,226.5827054474121,854600
2015-10-05,244.18763732910156,244.73269116960626,237.6549040047894,238.41018067757872,936200
2015-10-06,243.5023651123047,244.70923902981812,241.94509618026763,243.47900702880565,725600
2015-10-07,249.6615447998047,250.1910109117441,245.36346427168343,245.66714333597682,1103200
2015-10-08,248.0496368408203,249.06185234300102,246.57023581377047,248.47787637742533,653500
2015-10-09,247.69149780273438,249.93396976511133,245.3400293277115,248.04968690925824,580800
2015-10-12,245.78390502929688,248.1431679183855,242.74723355255693,248.1431679183855,613200
2015-10-13,245.36343383789062,247.1153624196677,243.19882969622148,243.47915062557294,890000
2015-10-14,251.08633422851562,254.13079877598588,246.82720144241858,249.37332837299297,1124700
2015-10-15,253.54684448242188,254.81602296207944,249.6225185801167,252.6280611548094,736500
2015-10-16,257.5957336425781,257.9461287981666,253.28211407289126,254.88609981767186,741900
